Comment ID,Channel ID,Comment Create Timestamp,Price,Video ID,Comment Text
UgyGiBO28Jhu3v8AVKV4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-10-18T03:50:34+00:00,0,WfQvhYSKnqc,"{""text"":""I think it's awesome that people love the movie so much they have to live it... I only wish I could have a Dalorean.""}"
Ugz0i2xvtHf8vvsLShx4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-10-17T16:12:57+00:00,0,U2rvxWyxR28,"{""text"":""its in the description""}"
Ugxdj0-77AHHj4WslDN4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-10-17T15:27:15+00:00,0,kHjAqBc6XhU,"{""text"":""We all are.""}"
Ugz88CnxUH-IOu0C9994AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-10-16T02:05:51+00:00,0,xj1GFQQKNAM,"{""text"":""The video won't buffer for me. I can't watch it.\n\nThis never happens with other ROCKETBOOM vids.""}"
UgyqzZkIhuFwvWgLqjt4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-10-13T20:18:01+00:00,0,z4qbvShkp1A,"{""text"":""Well... It's official. They did it.""}"
Ugyl5qdfiBtC2QpyvJt4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-10-12T03:17:21+00:00,0,vYzA6sJXsvw,"{""text"":""second""}"
UgzqmIDMdvSFVQVK2gB4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-10-10T14:24:05+00:00,0,q5cgWJVHloA,"{""text"":""WTF??? Is this today? It's freaken 10:24AM where I am (Ontario Canada)""}"
UgzMdk9XRqDfsbcQuCt4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-10-09T22:27:19+00:00,0,dyV4sNKDr8I,"{""text"":""I'm gonna help you out a bit by clicking ads all over your vids... Just don't tell Google that.""}"
UgwSX4KJQh3yG-TC8Ul4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-10-08T23:07:44+00:00,0,HG78FXhdig0,"{""text"":""Finally!!!""}"
Ugwqw9FLtyKmtMPXRpR4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-10-05T03:49:53+00:00,0,w5Dc2At5_AE,"{""text"":""The guy should have said at the beginning:\n\nRated M for More of The Same Crap You've Already Played.""}"
Ugw6-g1psPyQSw3GrRx4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-10-04T22:34:47+00:00,0,cxmgYo5B0KU,"{""text"":""At 3:05 that cartoon is called Johnny Test... Which is weird cuz' I'm pretty sure they live in California but Johnny Test is only on Teletoon. (Teletoon is Canadian Cartoon Network.)""}"
UgzToZ2kcio-SGeR5Nd4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-24T04:44:31+00:00,0,d3ZYF-Zmo2E,"{""text"":""The cup says as follows:\n\nI hate mondays, tuesdays, wednesdays, sand, polar bears, dolphins, women.""}"
UgzhlfsE1tSoqICrg2R4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-24T03:40:26+00:00,0,ZOir7gc2ros,"{""text"":""South Park... So I can be a bastard and kill Kenny.""}"
UgxqE0HYubVGGd_IU-R4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-24T03:12:17+00:00,0,mEBGdu4zKW0,"{""text"":""he can""}"
Ugx6OPfyIQGhqIePYOV4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-23T22:24:26+00:00,0,gO7F5DfIcBE,"{""text"":""How much did you pay for all those Pete?""}"
Ugzv8RJL6Zrh_ukRF1Z4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-21T22:57:01+00:00,0,ERhAkOGolDs,"{""text"":""last""}"
UgxN8VV8eI_fOgmH-Ql4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-21T22:56:49+00:00,0,ERhAkOGolDs,"{""text"":""cool""}"
UgwlN0kZKQj0CdbUCnl4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-21T22:56:26+00:00,0,ERhAkOGolDs,"{""text"":""cool""}"
Ugwz61IyzAFVa8X4eQ94AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-21T01:28:38+00:00,0,8s_uLd_vLH8,"{""text"":""Maxxz is his user name.""}"
UgylcXsllXCuNk_bWaF4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-20T22:06:32+00:00,0,pIlZP1lYDVI,"{""text"":""Wow... Jason Alexander (George) and Julia Louis-Dreyfus (Elaine) both were on Seinfeld and now on The new adventures of old Christine.""}"
UgwLTyLotlqsn5QvrCB4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-17T23:13:50+00:00,0,s2fLyPONoqY,"{""text"":""From what my parents told me, I traded the NES with all cables and 2 controllers, and about 7 games... Just for Pokemon Blue. My parents really had no sense of what the NES was worth at the time.""}"
Ugzjze469sVMt4hY1Kh4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-17T21:35:37+00:00,0,s2fLyPONoqY,"{""text"":""When I was about 4, maybe 5 my mom had an NES she got as a birthday present. I had a few games... The only I can remember are Roger Rabbit, and Bevis and Butthead. These games frustrated me so much, so my parents made me sell it. When I got to the pawn shop, I traded my NES and all my games for Pokemon Blue for the Gameboy Original. \n\n:(""}"
Ugx4eWQJJT1qNU71Gld4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-12T23:02:29+00:00,0,40S8G2ZuRpE,"{""text"":""I wonder if I went to a bumper-cars booth, and glue 2 magnets to each of my shoes (each with the repelling side facing the propelling side) i could hover like that... Probably not though. But this actually has some true to it.""}"
UgwZEyKL-cLg8y8zhfJ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-12T17:22:53+00:00,0,5KZJACZFQpM,"{""text"":""It's out of sync.""}"
UgxP6rb79w-MJno_FpF4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-10T23:06:00+00:00,0,SkLxSJC1wd0,"{""text"":""i'll send you a request.""}"
UgwzfHioF6NkXEkE_kZ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-08T03:55:32+00:00,0,H96VNGi1Es8,"{""text"":""Otro boludo que siempre hace la misma vos. - I translated it. It means \""Another idiot who always does the same you.\"" WTF?""}"
UgwGi9f8Re2eWeyGTBJ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-04T04:28:33+00:00,0,triMOdg9YGQ,"{""text"":""He said use it responsibly... But he knew that was a jack load of shit.""}"
UgwcRhHhNfllpeq7mVh4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-03T00:21:48+00:00,0,I5JC5A1h2l4,"{""text"":""I bet the super fantastic music prize is DJ Hero.""}"
UgwFO85HqRg-SVpE-lp4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-09-02T20:58:26+00:00,0,Qpv76oKJdXU,"{""text"":""JamesNintendoNerd LOL!!!""}"
Ugzsqb5ALyxKl8hmJrl4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-28T06:42:06+00:00,0,etRuhhA2z4w,"{""text"":""Pause at 1:59 that's not an iPhone.""}"
UgyzWLQcgryBBtmzDu14AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-27T20:03:10+00:00,0,yIiPpyYOKgI,"{""text"":""wow everybody commented at the same time LOL""}"
UgzDvZP-fKqJjuG3D1J4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-26T18:32:35+00:00,0,d3ZYF-Zmo2E,"{""text"":""When the guy was like JUST... PURE... ENERGY!! It reminded me of south park.""}"
UgzcSqM4fY8b4q3RddR4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-26T01:33:14+00:00,0,SkLxSJC1wd0,"{""text"":""but its not free, and it has a horrible look compared to roblox, and it doesn't have as much of a user friendly system the creaters don't do anything fun like contests, virtual currency, friends, groups ect.""}"
UgzW_5iZdUT-Cl6xUkl4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-21T17:14:31+00:00,0,SkLxSJC1wd0,"{""text"":""ROBLOX is better than the new LEGO Universe they're coming out with. Blockland sucks balls.""}"
UgwurVUPwdv1SfkEs9J4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-21T00:50:29+00:00,0,31t1cAPSvrE,"{""text"":""I live in Muskoka and there was a shit load of rain and wind and lightning... I had no clue it was this bad...""}"
UgzsOxXivvplvwc89r94AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-20T19:35:50+00:00,0,m1P5Edp8h84,"{""text"":""LOL at the end... I am one of AVGN's soldiers but that was hilarious.""}"
UgwgWp7iS37B6c_8Ymd4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-20T19:07:48+00:00,0,AWD70zCA7LU,"{""text"":""FINALLY!!!""}"
UgyVO66Plk7aKC5OKCl4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-19T03:48:48+00:00,0,2kHPwg4Rw4E,"{""text"":""Finally! The old intro is back! YAAAAY.""}"
UgyNidyiE303MK59K9J4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-18T17:46:53+00:00,0,R7yfISlGLNU,"{""text"":""2:41 was that Rihanna?""}"
UgxOddssYaixk683XBZ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-18T07:04:12+00:00,0,9janmGVHG2o,"{""text"":""Just kidding... But I have called him.""}"
Ugyk9flaoTLn4h11DJp4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-18T07:03:15+00:00,0,9janmGVHG2o,"{""text"":""LOL LMFAO I live in Ontario Canada where it is 3 hours ahead of California where shane is and I called him at 4:00 in the morning (where i was) one time and he was pissed.""}"
UgzmMBFr9Pd1bE5ILjp4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-17T06:10:46+00:00,0,d3ZYF-Zmo2E,"{""text"":""Doctor Octo-FUCKING-gonapuss BLAAAGH!!!\n\nI actually couldn't continue the video for like 5 minutes 'cuz I couldn't stop laughing!""}"
Ugx2BAR4MkDM67pY9Ml4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-15T18:15:01+00:00,0,3I3hdK9sjGk,"{""text"":""I'm not saying it's scary I'm saying IT SUCKED!! The camera was runned by a monkey and the ending pissed me off.""}"
UgwCtw9VQxQeJiL_W6p4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-15T18:08:43+00:00,0,3I3hdK9sjGk,"{""text"":""You should avoid: Cloverfield, The Mist, The Muppet Movie, and Michael Jackson's Documentary.""}"
UgzGnLmR9rDfUq7DlDV4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-14T18:06:46+00:00,0,586--mkb14w,"{""text"":""He stole Shane Dawson's  Subscribe Banner.""}"
UgwWOeuBtvO8TFdQm1V4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-11T18:24:26+00:00,0,YlMg9XgBDW0,"{""text"":""No Canada? :(""}"
Ugydm86vKKGpF1K6_it4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-11T18:10:29+00:00,0,5GcKTyw0sOs,"{""text"":""The weirdest group I've ever seen is Steampunk.""}"
UgzezX7fza-DJtsGnIt4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-09T22:01:57+00:00,0,hO8r1ttTp6s,"{""text"":""Scariest place to sit on the ride is the very back... It's so loose when the drop goes, you're basicly off the track.""}"
UgwwPgQ90aJDSHJOkmJ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-04T06:50:23+00:00,0,x3ll5kMO7wQ,"{""text"":""First view and comment! PWND! But wow... That's gonna be a bigger game room than  Pete Dorr.""}"
Ugz-URS16MHSrppj8QF4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-08-03T16:15:47+00:00,0,aHP_RFaQZeo,"{""text"":""OMFG!!! 1:54 he is wearing the M*A*S*H shirt from the first microwave episode!""}"
UgxNZ7bRLbv8sII40ZZ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-30T18:55:05+00:00,0,kLGPpnQHcNI,"{""text"":""FINALLY!!!""}"
UgwgmD1x8p6FNawXm_F4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-30T01:11:31+00:00,0,TouQLqFBAaU,"{""text"":""Wow... This guy just made a complete ass of himself... And at the end he was in front of G4! I would LOL if it was live.""}"
UgzFBToQwqsIH66nW4d4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-26T20:36:27+00:00,0,HCQRcinZYH8,"{""text"":""0:28 Look at his fucking face!""}"
UgytVDo24Dx45tyomex4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-25T21:29:24+00:00,0,TSajGdydZ3E,"{""text"":""You should of smashed it.""}"
UgzjkwW6Gqy8a2sxX4R4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-19T00:46:48+00:00,0,7f8ht4AZ7sg,"{""text"":""0:37 EXCUSE ME??? \""Mario and his characters are mute.\""? What about the begining when Peach askes Mario to the castle.""}"
