Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Post ID,Video ID,Comment Text,Top-Level Comment ID
UgwzI1RqWxv6xiyk1Uh4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-07-13T08:37:47.622812+00:00,0,,,dJH0j1MDJ0E,"{""text"":""Don't know what the fuck I'm doing""},{""text"":""\n""},{""text"":""But I know I got to do it""}",
UgzyufyffCd0M5_gA9l4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-07-13T01:03:36.945262+00:00,0,,,XFuvnieExAo,"{""text"":""Joung Yamie""}",
UgwnD0-TvpKnMBE3Zzl4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-07-12T23:42:20.709973+00:00,0,,,KZKCGQQ8mZ8,"{""text"":""Jack's not black and Barry ain't white""},{""text"":""\n""},{""text"":""-Bob Urnham""}",
UgxbrXXwIb_8uJehrsV4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-07-11T20:50:11.715353+00:00,0,,,OM_IO4bv76g,"{""text"":""take my money.""}",
UgzaVQlFFLR_vZ7KgLR4AaABAg.8iXb6I404Rq8iYGD14U128,UCn3WLZT7k8nO24XimlJVJVQ,2018-07-11T02:17:13.984287+00:00,0,UgzaVQlFFLR_vZ7KgLR4AaABAg,,XFuvnieExAo,"{""text"":""Getting there.""}",UgzaVQlFFLR_vZ7KgLR4AaABAg
UgyOcPx2gkdzN_BgS5Z4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-07-10T21:50:39.037549+00:00,0,,,s3I3G5ONeWg,"{""text"":""Praise Willum""}",
Ugz3Df3avop6ZE7_wfJ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-07-10T21:31:37.718877+00:00,0,,,7n5U54WwG2c,"{""text"":""Thank you for the video Daddy. I can like it.""}",
UgxYfRQ-QRzg0uYn46R4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-07-10T14:38:17.922833+00:00,0,,,Jt_5O4cJGMg,"{""text"":""IT SAYS FUUUUUUUUUUUCK""}",
UgzwkDS7Shf6DPTsDA54AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-07-09T23:29:22.828537+00:00,0,,,rsSe3aBb__c,"{""text"":""BUT MASAKO""}",
Ugx9kbiDNgsUL-cOmSd4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-07-09T22:04:51.667043+00:00,0,,,ub3pgNSL0S4,"{""text"":""DRAMA QUEEN""}",
Ugwzxc8gPMehgGVAHbl4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-07-09T16:09:53.440872+00:00,0,,,5gpal_lOuZQ,"{""text"":""The vacation videos were gorgeous. I like me some fitness trackers, but the DAC is where it's at.""}",
UgwbidvxJ9Fml-KqkPF4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-07-09T00:57:47.733538+00:00,0,,,kIIik5zWq-I,"{""text"":""bring a cib a vape day.""}",
